POSITION,QUANTITY,ENTER PRICE, EXIT PRICE, OUTCOME, PL VAL, PL%
SHORT,0.003744,26709.41,26976.5041,LOSS,-0.9999999999999941,-0.004

SHORT,0.003708,26968.81,27238.4981,LOSS,-0.9999999999999977,-0.004

SHORT,0.0036691,27254.67,27527.216699999997,LOSS,-0.9999999999999962,-0.004

SHORT,0.0036235,27597.46,27873.4346,LOSS,-1.000000000000005,-0.004

SHORT,0.0035904,27852.43,28130.9543,LOSS,-1.0000000000000036,-0.004

SHORT,0.0035603,28087.91,28368.7891,LOSS,-1.0000000000000069,-0.004

SHORT,0.0035222,28391.74,27823.9052,PROFIT,2.0000000000000018,0.006999999999999999

LONG,0.0036015,27766.23,27488.5677,LOSS,-0.9999999999999999,-0.004

LONG,0.0036605,27318.78,27045.5922,LOSS,-0.999999999999999,-0.004

LONG,0.0036833,27149.79,26878.292100000002,LOSS,-0.9999999999999944,-0.004

LONG,0.0037173,26901.42,26632.405799999997,LOSS,-1.0000000000000053,-0.004

